Year,Player,Age,Hometown,Home State,Tm,FantPos,FantPt,Height (inches),Weight,College,DOB,Draft Round,Draft Year,Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone
2013,Jeff Cumberland,26,Columbus,OH,NYJ,TE,64,76,249,Illinois,5/2/1987,0,0,0,0,0,0,0,0,0
1999,Doug Pederson,31,Bellingham,WA,PHI,QB,64,75,220,La-Monroe,1/31/1968,0,0,0,0,0,0,0,0,0
2002,Chris Redman,25,Louisville,KY,BAL,QB,64,75,223,Louisville,7/7/1977,3,2000,16,5.37,26.5,26.5,98,4.78,7.8
2006,Anthony Thomas,29,Pineville,LA,BUF,RB,64,74,228,Michigan,11/7/1977,2,2001,0,4.58,20,32.5,0,4.44,7.48
2009,Muhsin Muhammad,36,Lansing,MI,CAR,WR,64,74,217,Michigan St.,5/5/1973,2,1996,0,0,0,0,0,0,0
2013,Dexter McCluster,24,Largo,FL,KAN,WR,64,69,165,Mississippi,8/25/1989,2,2010,18,4.53,20,37.5,118,4.06,0
2013,Jermaine Gresham,25,Ardmore,OK,CIN,TE,64,77,261,Oklahoma,6/16/1988,1,2010,0,4.66,20,35,113,4.53,7.07
1999,O.J. McDuffie,30,Marion,OH,MIA,WR,64,70,194,Penn St.,12/2/1969,1,1993,0,0,0,0,0,0,0
2003,Troy Walters,27,Bloomington,IN,IND,WR,64,67,172,Stanford,12/15/1976,5,2000,0,4.55,32.5,32.5,106,3.84,6.61
2002,Qadry Ismail,32,Newark,NJ,IND,WR,64,73,196,Syracuse,11/8/1970,2,1993,0,0,0,0,0,0,0
2012,Bernard Pierce,22,Ardmore,PA,BAL,RB,64,73,215,Temple,8/2/1900,3,2012,0,4.45,17,36.5,123,4.28,7.07
2009,Marcedes Lewis,25,Long Beach,CA,JAX,TE,64,78,255,UCLA,5/19/1984,1,2006,0,4.8,23,37,118,4.84,7.24
2008,Billy Miller,31,Los Angeles,CA,NOR,TE,64,75,245,USC,4/24/1977,7,1999,0,4.63,0,34.5,114,4.28,7.06
2006,Ernest Wilford,27,Richmond,VA,JAX,WR,64,76,218,Virginia Tech,1/14/1979,4,2004,0,4.79,0,40.5,130,4.19,0
2003,Michael Bennett,25,Milwaukee,WI,MIN,RB,64,69,211,Wisconsin,8/13/1978,1,2001,0,5,31,31,110,0,0
2007,Brodie Croyle,24,Rainbow City,AL,KAN,QB,63,74,205,Alabama,2/6/1983,3,2006,24,4.88,0,30.5,104,4.26,7.36
2002,Itula Mili,29,Kahuku,HI,SEA,TE,63,76,260,BYU,4/20/1973,6,1997,0,0,0,0,0,0,0
2005,J.J. Arrington,22,Rocky Mount,NC,ARI,RB,63,69,214,California,1/23/1983,2,2005,0,4.4,18,35,121,4.1,6.81
2008,Daniel Graham,30,Torrance,CA,DEN,TE,63,75,257,Colorado,11/16/1978,1,2002,0,4.64,0,36,118,0,0
2009,Donald Brown,22,Atlantic Highlands,NJ,IND,RB,63,71,210,Connecticut,4/11/1987,1,2009,0,4.46,0,41.5,125,4.1,6.93
2005,Jabar Gaffney,25,Jacksonville,FL,HOU,WR,63,73,205,Florida,12/1/1980,2,2002,0,4.56,0,0,0,4.06,6.87
1999,Andre Hastings,29,Macon,GA,NOR,WR,63,73,190,Georgia,11/7/1970,3,1993,0,0,0,0,0,0,0
2008,Davone Bess,23,Hayward,CA,MIA,WR,63,70,190,Hawaii,9/13/1985,0,0,0,4.64,12,31.5,118,4.27,6.97
2005,Greg Lewis,25,Chicago,IL,PHI,WR,63,73,180,Illinois,2/12/1980,0,0,0,0,0,0,0,0,0
2007,Ladell Betts,28,Blue Springs,MO,WAS,RB,63,12,222,Iowa,8/27/1979,2,2002,0,4.62,23,38,116,4.06,7.06
2004,Moe Williams,30,Columbus,GA,MIN,RB,63,73,205,Kentucky,7/26/1974,3,1996,0,0,0,0,0,0,0
2000,Jackie Harris,32,Pine Bluff,AR,DAL,TE,63,76,244,La-Monroe,1/4/1968,0,1990,0,0,0,0,0,0,0
2007,Marty Booker,31,Marrero,LA,MIA,WR,63,73,212,La-Monroe,7/31/1976,3,1999,0,0,0,0,0,0,0
2011,Devery Henderson,29,Lafayette,LA,NOR,WR,63,12,200,LSU,3/26/1982,2,2004,0,0,0,0,0,0,0
2002,Josh Reed,22,Rayne,LA,BUF,WR,63,70,208,LSU,5/1/1980,2,2002,0,0,0,0,0,0,0
2005,Jermaine Wiggins,30,East Boston,MA,MIN,TE,63,74,260,Marshall,1/18/1975,0,0,0,0,0,0,0,0,0
2006,LaMont Jordan,28,Suitland,MD,OAK,RB,63,70,230,Maryland,11/11/1978,2,2001,0,4.57,24,37,0,0,0
2005,Deuce McAllister,27,Lena,MS,NOR,RB,63,73,232,Mississippi,12/27/1978,1,2001,0,4.41,20,37.5,0,0,0
2010,Correll Buckhalter,32,Laurel,MS,DEN,RB,63,73,222,Nebraska,10/6/1978,4,2001,0,4.53,11,40,0,4.06,7.08
2001,Freddie Jones,27,Cheverly,MD,SDG,TE,63,76,260,North Carolina,9/16/1974,2,1997,0,0,0,0,0,0,0
1999,Natrone Means,27,Harrisburg,NC,SDG,RB,63,70,245,North Carolina,4/26/1972,2,1993,0,0,0,0,0,0,0
2010,Michael Jenkins,28,Tampa,FL,ATL,WR,63,76,217,Ohio St.,6/18/1982,1,2004,0,0,0,0,0,0,0
2006,Brandon Jones,24,Texarkana,TX,TEN,WR,63,73,208,Oklahoma,10/6/1982,3,2005,0,4.42,0,37,114,4.1,7.03
2009,Mark Clayton,27,Oklahoma City,OK,BAL,WR,63,70,193,Oklahoma,7/2/1982,1,2005,0,4.41,0,36.5,118,4.07,6.95
2000,Stephen Alexander,25,Chickasha,OK,WAS,TE,63,76,246,Oklahoma,11/7/1975,0,1998,0,0,0,0,0,0,0
2006,Samie Parker,25,Long Beach,CA,KAN,WR,63,71,190,Oregon,3/25/1981,4,2004,0,4.39,0,36,0,0,0
2010,Deon Butler,24,Woodbridge,VA,SEA,WR,63,70,170,Penn St.,1/4/1986,3,2009,0,4.31,12,34.5,118,4.48,7.01
2011,Sidney Rice,25,Gaffney,SC,SEA,WR,63,76,200,South Carolina,9/1/1986,2,2007,0,4.51,0,39.5,119,4.34,7.09
2008,David Martin,29,Fort Campbell,KY,MIA,TE,63,76,260,Tennessee,3/13/1979,6,2001,0,4.76,0,37,127,0,0
2011,Roy Williams,30,Odessa,TX,CHI,WR,63,76,210,Texas,12/20/1981,1,2004,0,4.53,13,30.5,115,0,0
1999,Bam Morris,27,Cooper,TX,KAN,RB,63,73,244,Texas Tech,1/13/1972,3,1994,0,0,0,0,0,0,0
1999,J.J. Stokes,27,San Diego,CA,SFO,WR,63,76,218,UCLA,10/6/1972,1,1995,0,0,0,0,0,0,0
2007,J.P. Losman,26,Venice,CA,BUF,QB,63,75,220,UCLA,3/12/1981,1,2004,31,4.73,0,33,116,0,0
2008,Steve Smith,23,Los Angeles,CA,NYG,WR,63,69,185,Utah,5/12/1979,3,2001,0,4.44,0,38,120,4.19,6.68
2013,Heath Miller,31,Swords Creek,VA,PIT,TE,63,77,256,Virginia,10/22/1982,1,2005,0,0,0,0,0,0,0
2010,Heath Miller,28,Swords Creek,VA,PIT,TE,63,77,256,Virginia,10/22/1982,1,2005,0,0,0,0,0,0,0
2003,Ricky Proehl,35,Bronx,NY,CAR,WR,63,73,190,Wake Forest,3/7/1968,3,1990,0,0,0,0,0,0,0
2002,Ernie Conwell,30,Renton,WA,STL,TE,63,74,255,Washington,8/17/1972,2,1996,0,0,0,0,0,0,0
2012,Daryl Richardson,22,Jacksonville,FL,STL,RB,62,70,192,Abilene Christian,7/10/1900,7,0,0,4.47,0,0,0,0,0
2007,Zach Miller,22,Tempe,AZ,OAK,TE,62,77,256,Arizona St.,12/11/1985,2,2007,0,4.87,0,34,115,4.42,7.01
2002,Chad Lewis,31,Fort Dix,NJ,PHI,TE,62,78,252,BYU,10/5/1971,0,0,0,0,0,0,0,0,0
2012,Shane Vereen,23,Valencia,CA,NWE,RB,62,70,200,California,7/18/1900,2,2011,0,4.49,31,34,115,4.28,6.95
2002,Jabar Gaffney,22,Jacksonville,FL,HOU,WR,62,73,205,Florida,12/1/1980,2,2002,0,4.56,0,0,0,4.06,6.87
2003,Zack Crockett,31,Pompano Beach,FL,OAK,RB,62,74,240,Florida St.,12/2/1972,3,1995,0,0,0,0,0,0,0
2010,Derrick Ward,30,Los Angeles,CA,HOU,RB,62,71,233,Fresno St.,8/30/1980,7,2004,0,0,0,0,0,0,0
1999,Michael Pittman,24,New Orleans,LA,ARI,RB,62,73,218,Fresno St.,8/14/1975,4,1998,0,0,0,0,0,0,0
2009,Josh Cribbs,26,Washington,DC,CLE,WR,62,73,192,Kent St.,6/9/1983,0,0,0,0,0,0,0,0,0
2011,Andre Johnson,30,Miami,FL,HOU,WR,62,75,219,Miami (FL),7/11/1981,1,2003,0,4.4,0,39,132,0,0
2006,Eric Moulds,33,Lucedale,MS,HOU,WR,62,74,210,Mississippi St.,7/17/1973,1,1996,0,0,0,0,0,0,0
2008,Hank Baskett,26,Clovis,NM,PHI,WR,62,74,220,New Mexico,9/4/1982,0,0,0,4.5,0,35,119,4.22,6.8
2004,Koren Robinson,24,Belmont,NC,SEA,WR,62,73,205,North Carolina St.,3/19/1980,1,2001,0,4.61,0,38.5,123,0,0
2010,Jimmy Clausen,23,Thousand Oaks,CA,CAR,QB,62,75,0,Notre Dame,9/21/1987,2,2010,23,4.76,0,0,0,0,0
2011,Brian Hartline,25,Canton,OH,MIA,WR,62,74,180,Ohio St.,11/22/1986,4,2009,0,4.52,0,34.5,120,4.12,6.65
2004,Bobby Engram,31,Camden,SC,SEA,WR,62,70,188,Penn St.,1/7/1973,2,1996,0,0,0,0,0,0,0
2002,Bobby Engram,29,Camden,SC,SEA,WR,62,70,188,Penn St.,1/7/1973,2,1996,0,0,0,0,0,0,0
2006,Marcus Robinson,31,Fort Valley,GA,MIN,WR,62,75,215,South Carolina,2/27/1975,4,1997,0,0,0,0,0,0,0
2001,Todd Bouman,29,Lyon County,MN,MIN,QB,62,74,229,St. Cloud St.,8/1/1972,0,0,0,0,0,0,0,0,0
2009,Sammy Morris,32,San Antonio,TX,NWE,RB,62,73,220,Texas Tech,3/23/1977,5,2000,0,4.65,23,37.5,117,4.21,7.05
2006,Sammy Morris,29,San Antonio,TX,MIA,RB,62,73,220,Texas Tech,3/23/1977,5,2000,0,4.65,23,37.5,117,4.21,7.05
2004,Mewelde Moore,22,Hammond,LA,MIN,RB,62,71,210,Tulane,7/24/1982,4,2004,0,4.65,0,35,118,4.14,7.07
2012,Maurice Jones-Drew,27,Pinole,CA,JAX,RB,62,68,205,UCLA,7/23/1900,2,2006,0,0,0,0,0,0,0
2000,Germane Crowell,24,Winston-Salem,NC,DET,WR,62,75,213,Virginia,9/13/1976,0,1998,0,0,0,0,0,0,0
2013,Jason Snelling,30,Toms River,NJ,ATL,RB,62,71,235,Virginia,12/29/1983,7,2007,0,4.79,0,30,111,4.38,7.06
1999,Billy Joe Hobert,28,Puyallup,WA,NOR,QB,62,75,230,Washington,1/8/1971,3,1993,0,0,0,0,0,0,0
2003,Anthony Becht,26,Drexel Hill,PA,NYJ,TE,62,77,272,West Virginia,8/8/1977,1,2000,0,4.78,33.5,33.5,123,4.08,6.94
2001,Anthony Becht,24,Drexel Hill,PA,NYJ,TE,62,77,272,West Virginia,8/8/1977,1,2000,0,4.78,33.5,33.5,123,4.08,6.94
2013,Jarius Wright,24,Warren,AR,MIN,WR,61,70,182,Arkansas,11/25/1989,4,2012,0,4.39,11,38,120,4.03,6.93
1999,Marcus Pollard,27,Valley,AL,IND,TE,61,75,247,Bradley,2/8/1972,0,0,0,0,0,0,0,0,0
2006,Doug Gabriel,26,Miami,FL,2TM,WR,61,74,215,Central Florida,8/27/1980,5,2003,0,4.52,0,35.5,116,4.16,7.05
2011,Danny Woodhead,26,North Platte,NE,NWE,RB,61,69,200,Chadron St.,1/25/1985,0,0,0,0,0,0,0,0,0
2008,Jabar Gaffney,28,Jacksonville,FL,NWE,WR,61,73,205,Florida,12/1/1980,2,2002,0,4.56,0,0,0,4.06,6.87
2007,Rex Grossman,27,Bloomington,IN,CHI,QB,61,73,222,Florida,8/23/1980,1,2003,29,5.06,0,0,0,0,0
2000,Zack Crockett,28,Pompano Beach,FL,OAK,RB,61,74,240,Florida St.,12/2/1972,0,1995,0,0,0,0,0,0,0
2007,Randy McMichael,28,Griffin,GA,STL,TE,61,75,250,Georgia,6/28/1979,4,2002,0,4.88,18,29.5,112,4.28,7.56
2000,Antowain Smith,28,Millbrook,AL,BUF,RB,61,74,232,Houston,3/14/1972,1,1997,0,0,0,0,0,0,0
2011,Arrelious Benn,23,Washington,DC,TAM,WR,61,74,225,Illinois,9/8/1988,2,2010,0,4.57,20,37,118,0,0
2006,Dallas Clark,27,Livermore,IA,IND,TE,61,75,257,Iowa,6/12/1979,1,2003,0,4.65,0,37.5,123,0,0
2000,Marty Booker,24,Marrero,LA,CHI,WR,61,73,212,La-Monroe,7/31/1976,0,1999,0,0,0,0,0,0,0
2002,Deion Branch,23,Albany,GA,NWE,WR,61,69,193,Louisville,7/18/1979,2,2002,0,4.47,36,36,117,3.76,6.71
2007,Devery Henderson,25,Lafayette,LA,NOR,WR,61,12,200,LSU,3/26/1982,2,2004,0,0,0,0,0,0,0
2012,Randy Moss,35,Rand,WV,SFO,WR,61,76,215,Marshall,8/2/1900,1,1998,0,0,0,0,0,0,0
2009,Shaun Hill,29,Parsons,KS,SFO,QB,61,77,0,Maryland,1/9/1980,0,0,0,0,0,0,0,0,0
2008,Kellen Winslow,25,San Diego,CA,CLE,TE,61,76,254,Miami (FL),7/21/1983,1,2004,0,4.62,24,0,120,0,0
1999,Sedrick Irvin,21,Miami,FL,DET,RB,61,71,226,Miami Senior,3/30/1978,4,0,0,4.58,35,35,117,0,0
2005,Brian Griese,30,Miami,FL,TAM,QB,61,75,0,Michigan,3/18/1975,3,1998,0,0,0,0,0,0,0
2002,Tyrone Wheatley,30,Inkster,MI,OAK,RB,61,73,235,Michigan,1/19/1972,1,1995,0,0,0,0,0,0,0
2008,BenJarvus Green-Ellis,23,New Orleans,LA,NWE,RB,61,71,215,Mississippi,7/2/1985,0,0,0,4.6,24,30.5,114,0,0
1999,Byron Chamberlain,28,Honolulu,HI,DEN,TE,61,73,250,Missouri,10/17/1971,7,1995,0,0,0,0,0,0,0
2001,Koren Robinson,21,Belmont,NC,SEA,WR,61,73,205,North Carolina St.,3/19/1980,1,2001,0,4.61,38.5,38.5,123,0,0
2012,Jonathan Stewart,25,Fort Lewis,WA,CAR,RB,61,71,235,Oregon,8/22/1900,1,2008,0,4.68,19,31,118,4.53,7.44
2000,Duce Staley,25,Tampa,FL,PHI,RB,61,71,242,South Carolina,2/27/1975,0,1997,0,0,0,0,0,0,0
2004,Steve Heiden,28,Rushford,MN,CLE,TE,61,77,265,South Dakota St.,9/21/1976,3,0,0,4.84,26,32,121,4.11,6.96
2009,Jamal Lewis,30,Atlanta,GA,CLE,RB,61,71,240,Tennessee,8/29/1979,1,2000,0,4.58,23,0,0,0,0
2008,Marcedes Lewis,24,Long Beach,CA,JAX,TE,61,78,255,UCLA,5/19/1984,1,2006,0,4.8,23,37,118,4.84,7.24
2003,Mike Anderson,30,Winnsboro,SC,DEN,RB,61,73,230,Utah,9/21/1973,6,2000,0,0,0,0,0,0,0
2000,Herman Moore,31,Danville,VA,DET,WR,61,76,210,Virginia,10/20/1969,1,1991,0,0,0,0,0,0,0
2000,David Patten,26,Columbia,SC,CLE,WR,61,70,190,West. Carolina,8/19/1974,0,0,0,0,0,0,0,0,0
2012,Greg Jennings,29,Kalamazoo,MI,GNB,WR,61,71,195,West. Michigan,7/13/1900,2,2006,0,4.42,0,36.5,117,4.18,6.69
2011,Bernard Scott,27,Wichita Falls,TX,CIN,RB,60,12,200,Abilene Christian,2/10/1984,6,0,0,4.44,21,36,125,4.08,6.82
2004,Derrius Thompson,27,Dallas,TX,MIA,WR,60,74,220,Baylor,7/5/1977,0,0,0,4.59,0,41.5,114,4.13,7.31
2010,Rex Grossman,30,Bloomington,IN,WAS,QB,60,73,0,Florida,8/23/1980,1,2003,29,5.06,0,0,0,0,0
2002,Zack Crockett,30,Pompano Beach,FL,OAK,RB,60,74,240,Florida St.,12/2/1972,3,1995,0,0,0,0,0,0,0
1999,Ken Dilger,28,Mariah Hill,IN,IND,TE,60,77,250,Illinois,2/2/1971,2,1995,0,0,0,0,0,0,0
1999,Andre Reed,35,Allentown,PA,BUF,WR,60,74,190,Kutztown Pennsylvania,1/29/1964,4,0,0,0,0,0,0,0,0
2005,Brandon Stokley,29,Blacksburg,VA,IND,WR,60,71,197,La-Lafayette,6/23/1976,4,1999,0,4.49,0,35.5,118,4.01,7.04
2001,Elvis Joseph,23,St. Michaels,Barbados,JAX,RB,60,73,216,La-Lafayette,8/30/1978,0,0,0,0,0,0,0,0,0
2004,Troy Edwards,27,Shreveport,LA,JAX,WR,60,70,191,Louisiana Tech,4/7/1977,1,1999,0,4.57,0,36.5,118,4.16,7.37
2008,LaMont Jordan,30,Suitland,MD,NWE,RB,60,70,230,Maryland,11/11/1978,2,2001,0,4.57,24,37,0,0,0
2011,Chad Henne,26,Wyomissing,PA,MIA,QB,60,75,228,Michigan,7/2/1985,2,2008,22,4.92,0,25.5,106,4.4,7.17
2013,Brandon Bolden,23,Baton Rouge,LA,NWE,RB,60,71,220,Mississippi,1/26/1990,0,0,0,4.55,21,38,119,4.44,6.96
2008,Donald Lee,28,Maben,MS,GNB,TE,60,75,255,Mississippi St.,8/31/1980,5,2003,0,4.82,26,39,120,4.42,7.42
2002,David Boston,24,Humble,TX,ARI,WR,60,74,240,Ohio St.,8/19/1978,1,1999,0,4.47,37,37,116,4.09,7.2
2009,Bryant Johnson,28,Baltimore,MD,DET,WR,60,74,214,Penn St.,3/7/1981,1,2003,0,0,0,0,0,0,0
2006,Peerless Price,30,Dayton,OH,BUF,WR,60,71,190,Tennessee,10/27/1976,2,1999,0,4.55,0,35,116,4.09,7.28
2007,Sammy Morris,30,San Antonio,TX,NWE,RB,60,73,220,Texas Tech,3/23/1977,5,2000,0,4.65,23,37.5,117,4.21,7.05
2002,Drew Bennett,24,Berkeley,CA,TEN,WR,60,77,206,UCLA,8/26/1978,0,0,0,0,0,0,0,0,0
2004,Curtis Conway,33,Los Angeles,CA,SFO,WR,60,73,196,USC,1/13/1971,1,1993,0,0,0,0,0,0,0
2005,Jamie Martin,35,Orange,CA,STL,QB,60,74,0,Weber St.,2/8/1970,0,0,0,0,0,0,0,0,0
2004,Michael Bennett,26,Milwaukee,WI,MIN,RB,60,69,211,Wisconsin,8/13/1978,1,2001,0,5,24,31,110,0,0
2005,Dennis Northcutt,28,Los Angeles,CA,CLE,WR,59,71,175,Arizona,12/22/1977,2,2000,0,4.43,0,37.5,123,4.04,6.96
2012,Ronnie Brown,31,Rome,GA,SDG,RB,59,73,233,Auburn,8/20/1900,1,2005,0,4.43,18,34,117,4.14,7.12
1999,Tony Richardson,28,Frankfurt,Germany,KAN,RB,59,73,238,Auburn,12/17/1971,0,0,0,0,0,0,0,0,0
2011,Dennis Pitta,26,Fresno,CA,BAL,TE,59,76,245,BYU,6/29/1985,4,2010,0,4.68,27,34,113,4.17,6.72
2002,Bobby Shaw,27,San Francisco,CA,JAX,WR,59,73,185,California,4/23/1975,6,1998,0,0,0,0,0,0,0
2013,Andre Roberts,25,Columbia,SC,ARI,WR,59,71,192,Citadel,1/9/1988,3,2010,0,4.4,15,36,120,4.15,6.77
2012,Donald Brown,25,Atlantic Highlands,NJ,IND,RB,59,71,210,Connecticut,7/28/1900,1,2009,0,4.46,0,41.5,125,4.1,6.93
2013,Thaddeus Lewis,28,Opa-locka,FL,BUF,QB,59,73,200,Duke,2/1/1985,0,0,0,4.84,0,28,107,0,0
2004,Jesse Chatman,25,Houston,TX,SDG,RB,59,68,215,East. Washington,9/22/1979,0,0,0,0,0,0,0,0,0
2013,Kris Durham,25,0,,DET,WR,59,12,214,Georgia,1/0/1900,4,2011,0,0,0,0,0,0,0
2012,Alex Green,24,Portland,OR,GNB,RB,59,73,220,Hawaii,8/7/1900,3,2011,0,4.45,20,34,114,4.15,6.91
2010,Pierre Thomas,26,Chicago,IL,NOR,RB,59,71,210,Illinois,12/18/1984,0,0,0,0,0,0,0,0,0
2010,Brandon LaFell,24,Houston,TX,CAR,WR,59,74,208,LSU,11/4/1986,3,2010,0,4.58,0,36,115,4.23,6.81
2011,Joseph Addai,28,Houston,TX,IND,RB,59,12,210,LSU,5/3/1983,1,2006,0,4.4,18,38.5,125,4.48,7.1
2007,Josh Reed,27,Rayne,LA,BUF,WR,59,12,208,LSU,5/1/1980,2,2002,0,0,0,0,0,0,0
2005,Troy Brown,34,Barnwell,SC,NWE,WR,59,70,196,Marshall,7/2/1971,8,1993,0,0,0,0,0,0,0
2010,Jeremy Shockey,30,Ada,OK,NOR,TE,59,77,253,Miami (FL),8/18/1980,1,2002,0,0,0,0,0,0,0
2007,Chris Baker,28,St. Albans,NY,NYJ,TE,59,75,258,Michigan St.,11/18/1979,3,2002,0,4.94,24,35.5,106,4.9,8.06
2010,Drew Stanton,26,Okemos,MI,DET,QB,59,75,0,Michigan St.,5/7/1984,2,2007,35,4.75,0,30.5,108,4.41,6.77
2011,Visanthe Shiancoe,31,Laurel,MD,MIN,TE,59,76,250,Morgan St.,6/18/1980,3,0,0,4.65,28,39.5,120,4.31,7.09
2013,Greg Little,24,Durham,NC,CLE,WR,59,74,215,#REF!,5/30/1989,2,2011,0,4.51,27,40.5,129,4.21,6.8
1999,Rick Mirer,29,Elkhart,IN,NYJ,QB,59,75,210,Notre Dame,3/19/1970,1,1993,0,0,0,0,0,0,0
2003,Tony Fisher,24,Euclid,OH,GNB,RB,59,73,222,Notre Dame,10/12/1979,0,0,0,4.66,41.5,41.5,126,4.13,7
2010,Beanie Wells,22,Akron,OH,ARI,RB,59,73,235,Ohio St.,8/7/1988,1,2009,0,0,0,0,0,0,0
1999,David Boston,21,Humble,TX,ARI,WR,59,74,240,Ohio St.,8/19/1978,1,1999,0,4.47,37,37,116,4.09,7.2
2000,Jermaine Fazande,25,Marrero,LA,SDG,RB,59,74,255,Oklahoma,1/14/1975,0,1999,0,4.79,31.5,31.5,107,4.7,8.06
2004,Bryant Johnson,23,Baltimore,MD,ARI,WR,59,74,214,Penn St.,3/7/1981,1,2003,0,0,0,0,0,0,0
2001,Mike McMahon,22,Wexford,PA,DET,QB,59,74,215,Rutgers,2/8/1979,5,2001,27,4.57,37.5,37.5,124,4.12,7.12
1999,Roland Williams,24,Rochester,NY,STL,TE,59,77,265,Syracuse,4/27/1975,4,1998,0,0,0,0,0,0,0
2006,Cedrick Wilson,28,Memphis,TN,PIT,WR,59,70,183,Tennessee,12/17/1978,6,2001,0,4.48,0,38,123,0,0
2013,Justin Hunter,22,0,,TEN,WR,59,76,196,Tennessee,1/0/1900,2,2013,12,4.44,0,39.5,136,4.33,0
2004,Shawn Bryson,28,Franklin,NC,DET,RB,59,73,228,Tennessee,11/30/1976,3,1999,0,4.63,18,38.5,128,0,0
2010,Chester Taylor,31,River Rouge,MI,CHI,RB,59,71,213,Toledo,9/22/1979,6,2002,0,4.58,22,33,114,0,0
1999,Shaun King,22,St. Petersburg,FL,TAM,QB,59,73,215,Tulane,5/29/1977,2,1999,25,4.77,33,33,113,4.29,0
2004,Kevin Curtis,26,Murray,UT,STL,WR,59,71,186,Utah St.,7/17/1978,3,2003,0,4.42,0,36,122,3.99,6.76
2010,Owen Daniels,28,Naperville,IL,HOU,TE,59,75,245,Wisconsin,11/9/1982,4,2006,0,4.65,23,34.5,114,4.11,6.88
2005,Charlie Frye,24,Willard,OH,CLE,QB,58,76,0,Akron,8/28/1981,3,2005,38,4.79,0,33,113,4.09,6.95
2006,Bobby Wade,25,Orange County,CA,TEN,WR,58,70,193,Arizona,2/26/1981,5,2003,0,4.66,0,34.5,115,4.11,7.01
2008,Todd Heap,28,Mesa,AZ,BAL,TE,58,77,252,Arizona St.,3/16/1980,1,2001,0,4.68,22,32,0,0,0
2012,Zach Miller,27,Tempe,AZ,SEA,TE,58,77,256,Arizona St.,9/12/1900,2,2007,0,4.87,0,34,115,4.42,7.01
2009,Mike Tolbert,24,Carrollton,GA,SDG,RB,58,69,243,Coastal Carolina,11/23/1985,0,0,0,0,0,0,0,0,0
2007,Musa Smith,25,Elliottsburg,PA,BAL,RB,58,73,232,Georgia,5/31/1982,3,2003,0,4.45,0,35.5,123,0,0
2004,Corey Bradford,29,Baton Rouge,LA,HOU,WR,58,73,201,Jackson St.,12/8/1975,5,0,0,0,0,0,0,0,0
2001,Quincy Morgan,24,Dallas,TX,CLE,WR,58,73,210,Kansas St.,9/23/1977,2,2001,0,4.48,33,33,0,0,0
2007,Jake Delhomme,32,Breaux Bridge,LA,CAR,QB,58,74,215,La-Lafayette,1/10/1975,0,0,0,0,0,0,0,0,0
2013,Jacoby Jones,29,New Orleans,LA,BAL,WR,58,75,192,Lane,7/11/1984,3,2007,0,4.5,0,34,129,4.31,7.03
2003,Tim Rattay,26,Elyria,OH,SFO,QB,58,73,0,Louisiana Tech,3/15/1977,7,2000,27,4.91,25.5,25.5,100,4.21,7.34
2003,Najeh Davenport,24,Raleigh,NC,GNB,RB,58,73,245,Miami (FL),2/8/1979,4,2002,0,0,0,0,0,0,0
2003,Nate Burleson,22,Calgary,WA,MIN,WR,58,73,192,Nevada-Reno,8/19/1981,3,2003,0,4.51,42.5,42.5,126,4.16,6.96
2011,Golden Tate,23,Hendersonville,TN,SEA,WR,58,12,195,Notre Dame,8/2/1988,2,2010,0,4.42,17,35,120,4.34,7.12
2002,Steve Beuerlein,37,Los Angeles,CA,DEN,QB,58,75,220,Notre Dame,3/7/1965,4,1987,0,0,0,0,0,0,0
2000,Rickey Dudley,28,Henderson,TX,OAK,TE,58,78,255,Ohio St.,7/15/1972,1,1996,0,0,0,0,0,0,0
2010,T.J. Houshmandzadeh,33,Victor Valley,CA,BAL,WR,58,73,197,Oregon St.,9/26/1977,7,2001,0,0,0,0,0,0,0
1999,Dave Moore,30,Morristown,NJ,TAM,TE,58,74,250,Pittsburgh,11/11/1969,7,1992,0,0,0,0,0,0,0
2013,Mohamed Sanu,24,New Brunswick,NJ,CIN,WR,58,74,215,Rutgers,8/22/1989,3,2012,0,4.62,19,36,126,4.22,6.88
2008,Rashied Davis,29,Los Angeles,CA,CHI,WR,58,70,180,San Jose St.,7/24/1979,0,0,0,0,0,0,0,0,0
2005,Steve Heiden,29,Rushford,MN,CLE,TE,58,77,265,South Dakota St.,9/21/1976,3,1999,0,4.84,26,32,121,4.11,6.96
2013,Marcedes Lewis,29,Long Beach,CA,JAX,TE,58,78,255,UCLA,5/19/1984,1,2006,0,4.8,23,37,118,4.84,7.24
2002,Johnnie Morton,31,Torrance,CA,KAN,WR,58,73,190,USC,10/7/1971,1,1994,0,0,0,0,0,0,0
2009,Brian Westbrook,30,Washington,DC,PHI,RB,58,68,200,Villanova,9/2/1979,3,2002,0,4.57,26,37,118,0,7.09
2013,Rishard Matthews,24,San Diego,CA,MIA,WR,57,73,212,#REF!,10/12/1989,7,2012,0,4.54,20,36,0,4.19,6.88
2011,Ben Obomanu,28,Selma,AL,SEA,WR,57,73,203,Auburn,10/30/1983,7,2006,0,4.45,0,38,116,4.23,7.18
2011,Austin Collie,26,0,,IND,WR,57,73,200,BYU,1/0/1900,4,0,0,4.56,17,34,120,4.24,6.78
1999,Bobby Shaw,24,San Francisco,CA,PIT,WR,57,73,185,California,4/23/1975,6,1998,0,0,0,0,0,0,0
